dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,2,0.02,0.9585,0.0207,0.9544,0.0229,0.9586
cleve,303,2,0.02,0.8284,0.0542,0.8274,0.0547,0.8285
crx,690,2,0.04,0.8626,0.0470,0.8616,0.0477,0.8627
diabetes,768,2,0.03,0.7488,0.0476,0.7356,0.0528,0.7534
german,1000,2,0.06,0.7320,0.0371,0.6726,0.0463,0.7284
glass,214,6,0.01,0.6404,0.1227,0.6171,0.1458,0.6537
heart,270,2,0.03,0.8370,0.0529,0.8355,0.0532,0.8373
hepatitis,155,2,0.05,0.7664,0.0969,0.7144,0.1131,0.7869
horse,368,2,0.03,0.8017,0.0580,0.7952,0.0549,0.8047
iris,150,3,0.03,0.9533,0.0521,0.9532,0.0540,0.9532
labor,57,2,0.05,0.8267,0.0757,0.8219,0.0755,0.8284
led7,200,10,0.03,0.7159,0.0925,0.6970,0.0890,0.6917
lymph,148,4,0.05,0.8418,0.0817,0.4271,0.2108,0.8212
mushroom,8124,2,0.15,0.9846,0.0040,0.9846,0.0040,0.9846
sonar,208,2,0.05,0.8347,0.0797,0.8364,0.0800,0.8367
tic-tac-toe,958,2,0.003,0.9520,0.0161,0.9481,0.0170,0.9525
vehicle,846,4,0.03,0.6783,0.0269,0.6483,0.0342,0.6468
waveform,5000,3,0.01,0.8382,0.0114,0.8376,0.0115,0.8377
wine,178,3,0.03,0.9552,0.0335,0.9559,0.0334,0.9547
zoo,101,7,0.03,0.9268,0.0901,0.8525,0.1413,0.9248
